sales_person,country,product,sale_date,amount,boxes_shipped
Curtice Advani,India,White Choc,2022-07-04,"7,154",342
Oby Sorrel,New Zealand,Spicy Special Slims,2022-06-03,"1,617",13
Beverie Moffet,New Zealand,Peanut Butter Cubes,2022-02-23,"10,822",30
Dotty Strutley,New Zealand,99% Dark & Pure,2022-05-09,"10,724",203
Kelci Walkden,India,70% Dark Bites,2022-06-06,"3,640",106
Kelci Walkden,India,Drinking Coco,2022-07-04,"7,532",234
Brien Boise,New Zealand,Drinking Coco,2022-06-06,"1,582",100
Dotty Strutley,Australia,Almond Choco,2022-05-13,"1,456",91
Wilone O'Kielt,New Zealand,Organic Choco Syrup,2022-01-31,"2,016",277
Ches Bonnell,New Zealand,Caramel Stuffed Bars,2022-06-30,"7,588",42
Barr Faughny,Canada,Manuka Honey Choco,2022-08-25,"3,402",249
Gigi Bohling,New Zealand,Smooth Sliky Salty,2022-01-10,700,97
Brien Boise,USA,Manuka Honey Choco,2022-08-22,"1,904",8
Roddy Speechley,New Zealand,85% Dark Bars,2022-04-14,"4,844",275
Oby Sorrel,UK,Smooth Sliky Salty,2022-05-31,"9,625",313
Oby Sorrel,UK,Raspberry Choco,2022-04-08,"4,599",323
Roddy Speechley,USA,Drinking Coco,2022-02-21,"3,003",155
Andria Kimpton,Australia,Manuka Honey Choco,2022-03-30,"9,744",377
Mallorie Waber,India,Raspberry Choco,2022-03-02,"1,400",2
Jehu Rudeforth,USA,Orange Choco,2022-07-28,364,170
Kaine Padly,New Zealand,70% Dark Bites,2022-03-24,"7,231",38
Curtice Advani,Australia,After Nines,2022-08-11,63,105
Husein Augar,UK,Almond Choco,2022-05-17,"8,309",166
Kaine Padly,Canada,Choco Coated Almonds,2022-05-18,"3,164",164
Roddy Speechley,UK,Peanut Butter Cubes,2022-08-17,"5,691",171
Ches Bonnell,New Zealand,Eclairs,2022-04-04,490,49
Brien Boise,India,85% Dark Bars,2022-08-09,"18,032",205
Brien Boise,New Zealand,Organic Choco Syrup,2022-01-17,637,313
Andria Kimpton,Canada,White Choc,2022-02-14,"4,067",29
Gigi Bohling,New Zealand,Orange Choco,2022-05-16,"8,204",307
Ches Bonnell,Canada,Smooth Sliky Salty,2022-03-16,"9,870",121
Husein Augar,Canada,70% Dark Bites,2022-01-31,"5,131",285
Barr Faughny,Canada,Organic Choco Syrup,2022-03-10,"1,141",205
Oby Sorrel,UK,Organic Choco Syrup,2022-06-30,"7,980",157
Van Tuxwell,New Zealand,Eclairs,2022-03-01,"5,229",182
Mallorie Waber,UK,Drinking Coco,2022-05-27,"3,423",100
Oby Sorrel,UK,Milk Bars,2022-07-11,"6,468",223
Karlen McCaffrey,New Zealand,Mint Chip Choco,2022-03-02,"4,326",61
Jehu Rudeforth,USA,Raspberry Choco,2022-03-04,"7,154",133
Kelci Walkden,UK,85% Dark Bars,2022-06-23,"3,997",228
Kelci Walkden,USA,Almond Choco,2022-01-27,"5,180",233
Marney O'Breen,Canada,Orange Choco,2022-01-14,"2,723",425
Dennison Crosswaite,India,Fruit & Nut Bars,2022-07-29,952,24
Brien Boise,Canada,Smooth Sliky Salty,2022-05-13,"5,691",495
Barr Faughny,Canada,Baker's Choco Chips,2022-02-03,"10,969",170
Brien Boise,India,Smooth Sliky Salty,2022-05-27,"5,964",26
Jan Morforth,Australia,Drinking Coco,2022-02-18,"2,821",24
Brien Boise,India,Spicy Special Slims,2022-01-28,"1,302",33
Van Tuxwell,UK,Eclairs,2022-06-29,"5,474",109
Wilone O'Kielt,India,Caramel Stuffed Bars,2022-01-13,"4,179",276
Jehu Rudeforth,UK,After Nines,2022-06-27,"1,946",164
Barr Faughny,Canada,White Choc,2022-03-29,"4,291",1
Gunar Cockshoot,India,Organic Choco Syrup,2022-06-03,"7,196",160
Mallorie Waber,Canada,Smooth Sliky Salty,2022-03-21,"1,939",98
Mallorie Waber,India,Eclairs,2022-04-12,"10,437",46
Rafaelita Blaksland,Australia,Raspberry Choco,2022-01-19,"6,916",259
Karlen McCaffrey,UK,50% Dark Bites,2022-04-06,"3,647",310
Kaine Padly,Australia,50% Dark Bites,2022-08-02,"8,995",78
Gigi Bohling,Australia,Eclairs,2022-04-12,"7,252",136
Oby Sorrel,India,Drinking Coco,2022-07-21,"16,380",130
Van Tuxwell,New Zealand,Baker's Choco Chips,2022-03-22,"9,660",24
Husein Augar,India,Peanut Butter Cubes,2022-05-09,"4,522",5
Andria Kimpton,Australia,Baker's Choco Chips,2022-08-09,329,109
Madelene Upcott,Canada,Choco Coated Almonds,2022-07-20,"3,458",294
Brien Boise,India,70% Dark Bites,2022-04-14,"4,641",413
Jehu Rudeforth,Canada,White Choc,2022-01-25,"4,627",136
Andria Kimpton,Australia,Almond Choco,2022-04-25,"3,192",175
Dotty Strutley,Canada,After Nines,2022-01-17,252,237
Karlen McCaffrey,USA,Eclairs,2022-08-15,868,125
Karlen McCaffrey,Canada,Fruit & Nut Bars,2022-06-02,210,16
Gunar Cockshoot,USA,85% Dark Bars,2022-06-30,"7,007",135
Dotty Strutley,New Zealand,Raspberry Choco,2022-02-10,"5,845",91
Marney O'Breen,Canada,Caramel Stuffed Bars,2022-02-23,"1,372",614
Dennison Crosswaite,India,Organic Choco Syrup,2022-01-27,"8,428",216
Camilla Castle,UK,Mint Chip Choco,2022-05-26,"4,977",317
Brien Boise,USA,70% Dark Bites,2022-04-14,"1,694",21
Madelene Upcott,Australia,99% Dark & Pure,2022-08-01,"4,326",154
Mallorie Waber,Australia,Eclairs,2022-08-22,"9,527",222
Marney O'Breen,India,99% Dark & Pure,2022-07-22,"10,766",157
Husein Augar,USA,Fruit & Nut Bars,2022-04-28,"1,288",27
Kelci Walkden,Australia,Almond Choco,2022-05-30,"4,879",350
Ches Bonnell,USA,Milk Bars,2022-07-21,"2,408",157
Jan Morforth,UK,Caramel Stuffed Bars,2022-08-02,"3,094",468
Brien Boise,New Zealand,70% Dark Bites,2022-06-15,"7,231",130
Oby Sorrel,India,85% Dark Bars,2022-07-05,"8,981",130
Kaine Padly,New Zealand,Smooth Sliky Salty,2022-04-12,7,518
Gigi Bohling,Australia,70% Dark Bites,2022-08-18,"1,372",105
Jan Morforth,UK,50% Dark Bites,2022-01-12,"5,250",293
Gunar Cockshoot,Canada,White Choc,2022-08-11,"7,560",15
Jehu Rudeforth,Australia,Spicy Special Slims,2022-01-13,"5,012",384
Husein Augar,UK,Baker's Choco Chips,2022-04-29,"3,038",135
Rafaelita Blaksland,New Zealand,After Nines,2022-07-07,"1,099",92
Madelene Upcott,New Zealand,Mint Chip Choco,2022-03-11,"7,413",4
Madelene Upcott,UK,70% Dark Bites,2022-02-16,"5,397",239
Barr Faughny,Australia,Organic Choco Syrup,2022-01-07,"2,303",33
Beverie Moffet,New Zealand,Drinking Coco,2022-01-12,"1,141",518
Beverie Moffet,India,Eclairs,2022-06-09,"10,325",147
Andria Kimpton,India,Eclairs,2022-05-16,"2,149",84
Gigi Bohling,UK,85% Dark Bars,2022-06-23,"12,362",94
Roddy Speechley,UK,Raspberry Choco,2022-01-28,"12,635",194
Dotty Strutley,UK,Mint Chip Choco,2022-07-14,"2,443",216
Barr Faughny,Canada,Drinking Coco,2022-04-18,"6,237",247
Oby Sorrel,USA,Milk Bars,2022-06-14,"1,736",79
Oby Sorrel,UK,Orange Choco,2022-04-15,"7,315",237
Curtice Advani,Canada,Peanut Butter Cubes,2022-05-19,"4,935",63
Gigi Bohling,India,White Choc,2022-04-13,"1,393",172
Husein Augar,Canada,Choco Coated Almonds,2022-08-15,"3,381",408
Wilone O'Kielt,India,Choco Coated Almonds,2022-08-22,"2,933",233
Wilone O'Kielt,New Zealand,Baker's Choco Chips,2022-04-22,"3,836",59
Kaine Padly,UK,Choco Coated Almonds,2022-08-03,"8,022",123
Dennison Crosswaite,New Zealand,Organic Choco Syrup,2022-01-04,371,229
Kelci Walkden,Canada,After Nines,2022-01-13,"16,702",198
Van Tuxwell,Australia,Baker's Choco Chips,2022-05-11,"13,258",32
Husein Augar,New Zealand,Peanut Butter Cubes,2022-02-16,"2,058",236
Kaine Padly,UK,Caramel Stuffed Bars,2022-05-20,"10,192",67
Jehu Rudeforth,UK,Drinking Coco,2022-02-03,"7,140",438
Beverie Moffet,India,Manuka Honey Choco,2022-05-06,"9,835",167
Gunar Cockshoot,UK,Choco Coated Almonds,2022-06-30,"5,775",135
Gunar Cockshoot,UK,Smooth Sliky Salty,2022-03-22,749,148
Camilla Castle,Canada,Orange Choco,2022-02-17,"7,770",54
Jehu Rudeforth,UK,85% Dark Bars,2022-07-07,"5,502",64
Oby Sorrel,UK,70% Dark Bites,2022-03-16,"6,223",181
Kelci Walkden,UK,99% Dark & Pure,2022-08-12,"3,507",114
Gigi Bohling,New Zealand,After Nines,2022-01-21,"5,600",181
Oby Sorrel,Australia,50% Dark Bites,2022-05-06,721,151
Oby Sorrel,Canada,50% Dark Bites,2022-06-24,"6,615",137
Barr Faughny,USA,White Choc,2022-05-05,"7,420",163
Rafaelita Blaksland,New Zealand,99% Dark & Pure,2022-03-25,"3,164",84
Curtice Advani,Australia,Caramel Stuffed Bars,2022-02-14,"9,114",140
Curtice Advani,New Zealand,85% Dark Bars,2022-05-12,"5,404",187
Barr Faughny,New Zealand,Smooth Sliky Salty,2022-01-25,"3,990",169
Ches Bonnell,UK,85% Dark Bars,2022-06-28,"14,924",12
Dennison Crosswaite,Australia,Drinking Coco,2022-07-13,"7,091",194
Roddy Speechley,USA,Milk Bars,2022-05-16,"2,807",252
Jan Morforth,India,After Nines,2022-03-14,"6,496",168
Gunar Cockshoot,USA,After Nines,2022-08-15,"3,738",261
Ches Bonnell,India,Orange Choco,2022-02-16,"1,190",256
Mallorie Waber,UK,Manuka Honey Choco,2022-06-15,"8,379",43
Barr Faughny,Australia,Raspberry Choco,2022-05-27,"9,268",100
Wilone O'Kielt,USA,Drinking Coco,2022-06-14,"1,029",98
Wilone O'Kielt,India,Eclairs,2022-02-25,"3,549",76
Wilone O'Kielt,India,After Nines,2022-08-04,"12,026",262
Kelci Walkden,India,99% Dark & Pure,2022-06-28,"2,303",244
Gunar Cockshoot,Canada,Spicy Special Slims,2022-04-05,"13,405",12
Madelene Upcott,Canada,Peanut Butter Cubes,2022-07-05,"14,763",113
Kaine Padly,New Zealand,Eclairs,2022-01-20,"12,894",48
Ches Bonnell,New Zealand,Drinking Coco,2022-02-16,"8,302",131
Curtice Advani,UK,Drinking Coco,2022-07-12,455,174
Kelci Walkden,India,Raspberry Choco,2022-06-16,"8,183",254
Dotty Strutley,Australia,Choco Coated Almonds,2022-04-13,"1,645",284
Kaine Padly,UK,50% Dark Bites,2022-02-21,"3,143",67
Roddy Speechley,Canada,Choco Coated Almonds,2022-05-11,"5,873",249
Ches Bonnell,India,50% Dark Bites,2022-04-15,"11,298",313
Oby Sorrel,Canada,Peanut Butter Cubes,2022-06-07,"12,425",167
Oby Sorrel,UK,White Choc,2022-06-27,"1,715",286
Barr Faughny,India,After Nines,2022-07-29,"8,190",109
Wilone O'Kielt,Canada,Smooth Sliky Salty,2022-06-02,"4,991",166
Rafaelita Blaksland,India,Mint Chip Choco,2022-01-26,"15,491",85
Rafaelita Blaksland,Canada,99% Dark & Pure,2022-03-02,"5,096",142
Van Tuxwell,Australia,70% Dark Bites,2022-01-10,"7,063",104
Beverie Moffet,USA,70% Dark Bites,2022-06-27,"2,275",115
Barr Faughny,Canada,Orange Choco,2022-06-30,"7,602",18
Roddy Speechley,Australia,85% Dark Bars,2022-07-08,"4,200",80
Oby Sorrel,India,Spicy Special Slims,2022-06-08,"11,137",88
Jan Morforth,UK,Manuka Honey Choco,2022-08-18,"3,388",212
Kaine Padly,Australia,After Nines,2022-04-08,"6,832",306
Wilone O'Kielt,Canada,Fruit & Nut Bars,2022-08-08,"3,437",181
Wilone O'Kielt,UK,Milk Bars,2022-08-26,301,65
Oby Sorrel,Canada,Fruit & Nut Bars,2022-01-14,"1,869",158
Dennison Crosswaite,USA,Baker's Choco Chips,2022-08-11,"17,465",271
Madelene Upcott,USA,Almond Choco,2022-05-31,"10,143",24
Van Tuxwell,New Zealand,50% Dark Bites,2022-07-11,"3,626",10
Karlen McCaffrey,Canada,Caramel Stuffed Bars,2022-03-02,"3,346",304
Madelene Upcott,Australia,Raspberry Choco,2022-07-13,"6,321",88
Rafaelita Blaksland,UK,Spicy Special Slims,2022-08-03,"9,345",133
Curtice Advani,UK,Peanut Butter Cubes,2022-03-01,"15,008",165
Kelci Walkden,New Zealand,White Choc,2022-04-13,"7,609",150
Beverie Moffet,Canada,Fruit & Nut Bars,2022-02-14,"10,332",180
Mallorie Waber,India,White Choc,2022-07-26,819,213
Brien Boise,UK,Drinking Coco,2022-01-27,"5,754",133
Jehu Rudeforth,India,Peanut Butter Cubes,2022-04-14,28,446
Oby Sorrel,USA,Almond Choco,2022-05-19,"6,440",141
Husein Augar,India,Eclairs,2022-02-09,"4,956",58
Brien Boise,UK,Spicy Special Slims,2022-05-25,"2,352",58
Oby Sorrel,Australia,Manuka Honey Choco,2022-01-26,"3,906",76
Beverie Moffet,India,White Choc,2022-07-04,"1,813",296
Ches Bonnell,India,Almond Choco,2022-04-13,"11,788",73
Gigi Bohling,Australia,Smooth Sliky Salty,2022-01-25,"5,768",119
Camilla Castle,USA,85% Dark Bars,2022-04-25,"2,401",78
Camilla Castle,USA,Eclairs,2022-06-10,"4,515",392
Madelene Upcott,New Zealand,White Choc,2022-08-22,"10,794",51
Van Tuxwell,India,After Nines,2022-06-27,"13,706",207
Husein Augar,India,Orange Choco,2022-06-30,"4,361",40
Jehu Rudeforth,India,Almond Choco,2022-08-30,"10,122",100
Karlen McCaffrey,Australia,Raspberry Choco,2022-08-23,994,57
Camilla Castle,New Zealand,99% Dark & Pure,2022-08-26,"2,268",42
Gigi Bohling,Australia,Orange Choco,2022-03-09,574,156
Kelci Walkden,UK,Drinking Coco,2022-04-20,"1,792",23
Mallorie Waber,Canada,Caramel Stuffed Bars,2022-06-10,"4,844",539
Husein Augar,Australia,Organic Choco Syrup,2022-02-08,938,158
Brien Boise,Australia,White Choc,2022-08-25,"4,879",22
Dotty Strutley,India,Peanut Butter Cubes,2022-02-16,"9,107",73
Dennison Crosswaite,UK,99% Dark & Pure,2022-05-30,"12,187",27
Gigi Bohling,New Zealand,50% Dark Bites,2022-06-29,"5,670",64
Gigi Bohling,USA,Milk Bars,2022-06-16,476,133
Brien Boise,UK,Caramel Stuffed Bars,2022-03-04,"2,681",149
Curtice Advani,New Zealand,Peanut Butter Cubes,2022-03-15,"1,533",434
Curtice Advani,New Zealand,50% Dark Bites,2022-01-27,"9,765",85
Beverie Moffet,Canada,Drinking Coco,2022-07-05,994,118
Barr Faughny,USA,Caramel Stuffed Bars,2022-03-29,"3,318",299
Mallorie Waber,Canada,Almond Choco,2022-05-12,"4,214",35
Oby Sorrel,USA,Drinking Coco,2022-03-11,"7,714",44
Brien Boise,New Zealand,Eclairs,2022-07-11,"4,690",299
Gunar Cockshoot,New Zealand,Choco Coated Almonds,2022-08-01,"13,062",62
Gunar Cockshoot,UK,Spicy Special Slims,2022-02-16,"12,488",200
Curtice Advani,USA,After Nines,2022-04-13,"14,147",235
Oby Sorrel,India,Choco Coated Almonds,2022-02-14,49,363
Ches Bonnell,Australia,Peanut Butter Cubes,2022-03-14,"10,199",68
Oby Sorrel,Australia,Spicy Special Slims,2022-04-26,"11,389",26
Jehu Rudeforth,Canada,Manuka Honey Choco,2022-04-05,"3,584",200
Camilla Castle,Canada,Drinking Coco,2022-03-03,"12,481",264
Kaine Padly,USA,Spicy Special Slims,2022-06-13,"2,107",175
Marney O'Breen,New Zealand,70% Dark Bites,2022-02-14,"8,603",352
Roddy Speechley,New Zealand,99% Dark & Pure,2022-04-18,"7,483",183
Oby Sorrel,New Zealand,85% Dark Bars,2022-02-01,"3,381",417
Dotty Strutley,New Zealand,Orange Choco,2022-08-04,"2,030",146
Andria Kimpton,New Zealand,Almond Choco,2022-04-05,"6,559",158
Karlen McCaffrey,Australia,99% Dark & Pure,2022-01-26,"10,822",168
Kaine Padly,UK,After Nines,2022-01-21,"18,697",176
Kaine Padly,Canada,After Nines,2022-08-22,"5,845",172
Kaine Padly,UK,Drinking Coco,2022-01-27,"2,317",224
Rafaelita Blaksland,UK,50% Dark Bites,2022-02-16,"10,150",68
Dotty Strutley,USA,Raspberry Choco,2022-01-03,"3,437",46
Karlen McCaffrey,USA,White Choc,2022-08-24,"4,592",2
Oby Sorrel,USA,Spicy Special Slims,2022-02-07,"5,691",417
Mallorie Waber,Australia,Smooth Sliky Salty,2022-02-11,"4,158",109
Kaine Padly,Canada,Organic Choco Syrup,2022-03-29,"5,684",81
Marney O'Breen,USA,Peanut Butter Cubes,2022-06-15,693,350
Dennison Crosswaite,UK,Smooth Sliky Salty,2022-04-26,546,142
Brien Boise,Australia,Organic Choco Syrup,2022-07-15,"4,263",264
Beverie Moffet,India,Organic Choco Syrup,2022-06-23,"1,036",20
Dennison Crosswaite,Australia,Baker's Choco Chips,2022-01-11,"13,846",421
Beverie Moffet,UK,50% Dark Bites,2022-02-09,"2,499",271
Van Tuxwell,UK,Almond Choco,2022-06-06,"10,689",204
Dotty Strutley,UK,Caramel Stuffed Bars,2022-08-10,"5,768",235
Wilone O'Kielt,Australia,Smooth Sliky Salty,2022-01-04,"2,226",46
Andria Kimpton,Canada,70% Dark Bites,2022-04-08,"10,262",15
Barr Faughny,UK,Milk Bars,2022-03-02,"3,864",430
Van Tuxwell,Canada,Drinking Coco,2022-06-15,"4,900",709
Jehu Rudeforth,Australia,After Nines,2022-02-14,"5,250",47
Husein Augar,UK,After Nines,2022-07-05,"3,507",380
Barr Faughny,India,Mint Chip Choco,2022-01-12,"7,413",465
Curtice Advani,India,Mint Chip Choco,2022-03-03,"8,155",96
Jehu Rudeforth,New Zealand,Milk Bars,2022-05-18,"2,478",188
Gunar Cockshoot,India,Caramel Stuffed Bars,2022-07-28,"2,471",202
Curtice Advani,UK,Manuka Honey Choco,2022-02-07,"1,666",106
Andria Kimpton,India,Orange Choco,2022-05-30,301,421
Mallorie Waber,Australia,Raspberry Choco,2022-04-25,"8,400",27
Beverie Moffet,Canada,85% Dark Bars,2022-02-16,"6,139",45
Kelci Walkden,Australia,Drinking Coco,2022-05-04,"1,288",60
Van Tuxwell,Canada,70% Dark Bites,2022-06-02,"7,077",77
Dennison Crosswaite,USA,Caramel Stuffed Bars,2022-07-11,"2,317",464
Beverie Moffet,New Zealand,Spicy Special Slims,2022-06-07,63,60
Jan Morforth,UK,Almond Choco,2022-07-06,"9,744",157
Husein Augar,India,Raspberry Choco,2022-06-15,"9,954",154
Dotty Strutley,India,Mint Chip Choco,2022-04-14,"1,260",239
Camilla Castle,India,Drinking Coco,2022-08-08,469,163
Marney O'Breen,UK,Drinking Coco,2022-03-29,973,28
Roddy Speechley,Australia,Organic Choco Syrup,2022-07-04,"3,647",76
Ches Bonnell,India,99% Dark & Pure,2022-02-16,455,96
Rafaelita Blaksland,Canada,Spicy Special Slims,2022-05-02,"2,520",156
Van Tuxwell,India,Eclairs,2022-07-21,"10,500",106
Gunar Cockshoot,Australia,99% Dark & Pure,2022-08-18,"7,952",235
Kaine Padly,USA,85% Dark Bars,2022-06-22,483,259
Camilla Castle,UK,Peanut Butter Cubes,2022-07-19,"4,872",126
Madelene Upcott,UK,Peanut Butter Cubes,2022-08-12,"7,756",85
Madelene Upcott,USA,Choco Coated Almonds,2022-06-07,"5,446",132
Marney O'Breen,Canada,Peanut Butter Cubes,2022-03-08,"6,594",91
Ches Bonnell,Australia,Choco Coated Almonds,2022-04-08,"1,470",167
Curtice Advani,Canada,Eclairs,2022-05-06,721,203
Roddy Speechley,India,Drinking Coco,2022-05-31,"4,494",11
Van Tuxwell,Australia,Mint Chip Choco,2022-01-13,"2,674",295
Dennison Crosswaite,USA,70% Dark Bites,2022-03-15,658,77
Andria Kimpton,Canada,Peanut Butter Cubes,2022-02-16,"1,127",319
Gigi Bohling,USA,70% Dark Bites,2022-01-14,"7,364",196
Rafaelita Blaksland,Australia,White Choc,2022-03-21,"6,818",102
Roddy Speechley,Canada,Drinking Coco,2022-05-17,"6,776",312
Camilla Castle,New Zealand,85% Dark Bars,2022-08-08,"15,099",55
Madelene Upcott,Canada,Milk Bars,2022-04-26,"3,612",82
Madelene Upcott,Australia,70% Dark Bites,2022-04-15,"3,710",260
Oby Sorrel,Canada,Eclairs,2022-05-19,"6,111",591
Dennison Crosswaite,Canada,Drinking Coco,2022-01-10,"2,702",24
Mallorie Waber,New Zealand,After Nines,2022-05-04,483,228
Roddy Speechley,Canada,White Choc,2022-04-05,"5,887",268
Andria Kimpton,India,After Nines,2022-01-17,952,68
Roddy Speechley,India,Spicy Special Slims,2022-03-22,"10,647",173
Dotty Strutley,Australia,White Choc,2022-07-05,"6,055",93
Oby Sorrel,Canada,Orange Choco,2022-04-27,"8,757",338
Kaine Padly,Canada,Almond Choco,2022-08-12,"6,055",73
Jan Morforth,UK,Baker's Choco Chips,2022-03-11,721,251
Jehu Rudeforth,UK,Fruit & Nut Bars,2022-05-13,"8,589",229
Dennison Crosswaite,USA,Smooth Sliky Salty,2022-05-12,"11,781",91
Brien Boise,USA,Raspberry Choco,2022-01-12,672,194
Madelene Upcott,New Zealand,Milk Bars,2022-03-29,"12,558",403
Roddy Speechley,India,50% Dark Bites,2022-03-14,"8,337",12
Barr Faughny,New Zealand,99% Dark & Pure,2022-05-24,"8,134",195
Dennison Crosswaite,Canada,Organic Choco Syrup,2022-01-28,"8,491",75
Beverie Moffet,India,Almond Choco,2022-05-24,"3,066",96
Brien Boise,Australia,Peanut Butter Cubes,2022-08-19,301,205
Karlen McCaffrey,Australia,Spicy Special Slims,2022-05-17,"4,410",323
Jehu Rudeforth,USA,White Choc,2022-06-07,"6,559",119
Ches Bonnell,Canada,Organic Choco Syrup,2022-07-26,574,217
Dotty Strutley,India,Eclairs,2022-07-28,"2,086",384
Karlen McCaffrey,India,70% Dark Bites,2022-05-23,"5,075",344
